feature,importance
returns,0.03605340578129934
upper_wick,0.030320643165502578
STOCH_d,0.028444816243080852
returns_lag_1,0.026339868788360622
STOCH_k,0.02624697746543316
bb_position,0.02580933126871666
body_range_ratio,0.025312051232492826
lower_wick,0.02508752147188989
MACD_hist,0.02449665919126133
RSI_14,0.023852371784714888
returns_lag_2,0.023740219922111824
returns_lag_5,0.023270076369251172
ATR_14,0.022914848762661297
returns_lag_3,0.02249916489151225
ADX,0.022448791791827002
rolling_std_5,0.02146144152320845
close_to_ema20,0.02096210999695905
rolling_range_5,0.020960511328639794
rolling_std_10,0.020611219947222023
MACD_signal,0.020455454294244096
MACD,0.020343834876816614
candle_range,0.020232999284380253
body_size,0.01988108193426256
distance_from_low_20,0.019719183580345623
rolling_std_20,0.019455924496937033
rolling_range_10,0.019244714038151357
close_to_sma20,0.018892693994108256
BB_width,0.01866442265877484
distance_from_high_20,0.018328587157388596
minute,0.01764740704170789
rolling_range_20,0.017344061233205497
BB_lower,0.009833337788726524
low_lag_5,0.00900406189261126
rolling_min_20,0.008846084591974817
BB_upper,0.008768939989155063
low_lag_3,0.008645134828543791
high_lag_3,0.008581163479348055
Close,0.008538440150004056
high_lag_5,0.008476328448750013
Open,0.008457491450241484
high_lag_1,0.008426161420401073
rolling_min_10,0.008388063474445212
close_lag_2,0.008241537872607688
Low,0.00815061234520115
high_lag_2,0.00812193401612175
rolling_mean_20,0.008058648837429246
High,0.008047023746833795
EMA_5,0.008031832079064051
rolling_min_5,0.008028380963372973
close_lag_5,0.00801048125886903
low_lag_1,0.008007556269584413
close_lag_3,0.00798017128617937
BB_middle,0.007942621386061466
SMA_20,0.007927911774828296
rolling_max_10,0.007907219151802886
SMA_10,0.007714232215053966
is_bullish,0.007709876533026142
rolling_max_20,0.007667497288535414
hour,0.007561713183100909
low_lag_2,0.007507517616005311
rolling_max_5,0.007349784999923379
EMA_20,0.0073410686795646
rolling_mean_10,0.00729271427064333
close_lag_1,0.007196940628719438
EMA_10,0.007158004389991459
SMA_5,0.006870464790831965
rolling_mean_5,0.00659706047315365
day_of_week,0.005818641034218071
is_market_hours,0.0035600262725082378
lower_wick_ratio,0.0007572940191994176
upper_wick_ratio,0.00043362958689965273
volume_change,0.0
open_interest,0.0
Volume,0.0
